PUBYEAR,INST_NAME,sector,sec_abbr,articles,oa_category,n_cat,oa_host,n_host,oa_articles,prop,prop_cat,prop_host,sector_cat
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,opendoar_subject,561,repository,826,984,0.39886501824077825,0.22740170247263883,0.3348196189704094,Universities
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,other_oa_journal,385,journal,600,984,0.39886501824077825,0.15605999189298744,0.2432103769760843,Universities
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,not_oa,1483,not_oa,1483,984,0.39886501824077825,0.6011349817592218,0.6011349817592218,Universities
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,full_oa_journal,215,journal,600,984,0.39886501824077825,0.08715038508309687,0.2432103769760843,Universities
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,other_repo,349,repository,826,984,0.39886501824077825,0.14146736927442238,0.3348196189704094,Universities
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,opendoar_inst,208,repository,826,984,0.39886501824077825,0.08431293068504256,0.3348196189704094,Universities
2010,Albert-Ludwigs-Universität Freiburg im Breisgau,Universities,UNI,2467,opendoar_other,133,repository,826,984,0.39886501824077825,0.053911633563032024,0.3348196189704094,Universities
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,opendoar_subject,16,repository,220,260,0.5752212389380531,0.035398230088495575,0.48672566371681414,Research-oriented
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,other_oa_journal,52,journal,119,260,0.5752212389380531,0.11504424778761062,0.26327433628318586,Research-oriented
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,not_oa,192,not_oa,192,260,0.5752212389380531,0.4247787610619469,0.4247787610619469,Research-oriented
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,full_oa_journal,67,journal,119,260,0.5752212389380531,0.14823008849557523,0.26327433628318586,Research-oriented
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,other_repo,98,repository,220,260,0.5752212389380531,0.2168141592920354,0.48672566371681414,Research-oriented
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,opendoar_inst,170,repository,220,260,0.5752212389380531,0.37610619469026546,0.48672566371681414,Research-oriented
2010,Alfred-Wegener-Institut für Polar- und Meeresforschung,Helmholtz Association,HGF,452,opendoar_other,25,repository,220,260,0.5752212389380531,0.05530973451327434,0.48672566371681414,Research-oriented
2010,Bauhaus-Universität Weimar,Universities,UNI,66,opendoar_subject,1,repository,5,7,0.10606060606060606,0.015151515151515152,0.07575757575757576,Universities
2010,Bauhaus-Universität Weimar,Universities,UNI,66,other_oa_journal,1,journal,2,7,0.10606060606060606,0.015151515151515152,0.030303030303030304,Universities
2010,Bauhaus-Universität Weimar,Universities,UNI,66,not_oa,59,not_oa,59,7,0.10606060606060606,0.8939393939393939,0.8939393939393939,Universities
2010,Bauhaus-Universität Weimar,Universities,UNI,66,full_oa_journal,1,journal,2,7,0.10606060606060606,0.015151515151515152,0.030303030303030304,Universities
2010,Bauhaus-Universität Weimar,Universities,UNI,66,other_repo,2,repository,5,7,0.10606060606060606,0.030303030303030304,0.07575757575757576,Universities
2010,Bauhaus-Universität Weimar,Universities,UNI,66,opendoar_inst,3,repository,5,7,0.10606060606060606,0.045454545454545456,0.07575757575757576,Universities
2010,Bauhaus-Universität Weimar,Universities,UNI,66,opendoar_other,2,repository,5,7,0.10606060606060606,0.030303030303030304,0.07575757575757576,Universities
2010,Bayerische Landesanstalt für Landwirtschaft,"Government Research
 Agencies",GRA,31,opendoar_subject,2,repository,6,7,0.22580645161290322,0.06451612903225806,0.1935483870967742,Practise-oriented
2010,Bayerische Landesanstalt für Landwirtschaft,"Government Research
 Agencies",GRA,31,other_oa_journal,3,journal,4,7,0.22580645161290322,0.0967741935483871,0.12903225806451613,Practise-oriented
2010,Bayerische Landesanstalt für Landwirtschaft,"Government Research
 Agencies",GRA,31,not_oa,24,not_oa,24,7,0.22580645161290322,0.7741935483870968,0.7741935483870968,Practise-oriented
2010,Bayerische Landesanstalt für Landwirtschaft,"Government Research
 Agencies",GRA,31,full_oa_journal,1,journal,4,7,0.22580645161290322,0.03225806451612903,0.12903225806451613,Practise-oriented
2010,Bayerische Landesanstalt für Landwirtschaft,"Government Research
 Agencies",GRA,31,other_repo,4,repository,6,7,0.22580645161290322,0.12903225806451613,0.1935483870967742,Practise-oriented
